6559.448, 8319, 
6559.45, 8317, 
6559.452, 8313, 
6559.454, 8309, 
6559.456, 8307, 
6559.458, 8303, 
6559.46, 8299, 
6559.462, 8294, 
6559.464, 8290, 
6559.466, 8286, 
6559.468, 8280, 
6559.47, 8274, 
6559.472, 8269, 
6559.474, 8261, 
6559.476, 8254, 
6559.478, 8248, 
6559.48, 8241, 
6559.482, 8233, 
6559.484, 8220, 
6559.486, 8208, 
6559.488, 8194, 
6559.49, 8178, 
6559.492, 8161, 
6559.494, 8143, 
6559.496, 8125, 
6559.498, 8107, 
6559.5, 8089, 
6559.502, 8070, 
6559.504, 8049, 
6559.506, 8029, 
6559.508, 8007, 
6559.51, 7983, 
6559.512, 7956, 
6559.514, 7927, 
6559.516, 7898, 
6559.518, 7860, 
6559.52, 7816, 
6559.522, 7770, 
6559.524, 7726, 
6559.526, 7683, 
6559.528, 7642, 
6559.53, 7598, 
6559.532, 7553, 
6559.534, 7507, 
6559.536, 7460, 
6559.538, 7413, 
6559.54, 7368, 
6559.542, 7324, 
6559.544, 7284, 
6559.546, 7243, 
6559.548, 7203, 
6559.55, 7163, 
6559.552, 7123, 
6559.554, 7087, 
6559.556, 7051, 
6559.558, 7018, 
6559.56, 6988, 
6559.562, 6960, 
6559.564, 6936, 
6559.566, 6918, 
6559.568, 6903, 
6559.57, 6894, 
6559.572, 6888, 
6559.574, 6885, 
6559.576, 6886, 
6559.578, 6892, 
6559.58, 6901, 
6559.582, 6918, 
6559.584, 6938, 
6559.586, 6963, 
6559.588, 6993, 
6559.59, 7024, 
6559.592, 7058, 
6559.594, 7093, 
6559.596, 7128, 
6559.598, 7165, 
6559.6, 7202, 
6559.602, 7239, 
6559.604, 7276, 
6559.606, 7315, 
6559.608, 7356, 
6559.61, 7398, 
6559.612, 7442, 
6559.614, 7488, 
6559.616, 7534, 
6559.618, 7579, 
6559.62, 7618, 
6559.622, 7655, 
6559.624, 7690, 
6559.626, 7722, 
6559.628, 7753, 
6559.63, 7782, 
6559.632, 7810, 
6559.634, 7836, 
6559.636, 7859, 
6559.638, 7883, 
6559.64, 7905, 
6559.642, 7925, 
6559.644, 7946, 
6559.646, 7964, 
6559.648, 7981, 
6559.65, 7997, 
6559.652, 8012, 
6559.654, 8027, 
6559.656, 8041, 
6559.658, 8055, 
6559.66, 8068, 
6559.662, 8080, 
6559.664, 8092, 
6559.666, 8103, 
6559.668, 8111, 
6559.67, 8121, 
6559.672, 8130, 
6559.674, 8138, 
6559.676, 8147, 
6559.678, 8154, 
6559.68, 8161, 
6559.682, 8166, 
6559.684, 8169, 
6559.686, 8172, 
6559.688, 8175, 
6559.69, 8177, 
6559.692, 8180, 
6559.694, 8182, 
6559.696, 8183, 
6559.698, 8184, 
6559.7, 8183, 
6559.702, 8183, 
6559.704, 8182, 
6559.706, 8182, 
6559.708, 8181, 
6559.71, 8181, 
6559.712, 8179, 
6559.714, 8178, 
6559.716, 8177, 
6559.718, 8176, 
6559.72, 8175, 
6559.722, 8173, 
6559.724, 8170, 
6559.726, 8168, 
6559.728, 8165, 
6559.73, 8162, 
6559.732, 8159, 
6559.734, 8156, 
6559.736, 8154, 
6559.738, 8150, 
6559.74, 8147, 
6559.742, 8143, 
6559.744, 8139, 
6559.746, 8137, 
6559.748, 8133, 
6559.75, 8129, 
6559.752, 8125, 
6559.754, 8122, 
6559.756, 8119, 
6559.758, 8116, 
6559.76, 8113, 
6559.762, 8110, 
6559.764, 8108, 
6559.766, 8106, 
6559.768, 8104, 
6559.77, 8101, 
6559.772, 8100, 
6559.774, 8099, 
6559.776, 8098, 
6559.778, 8097, 
6559.78, 8096, 
6559.782, 8096, 
6559.784, 8097, 
6559.786, 8097, 
6559.788, 8098, 
6559.79, 8099, 
6559.792, 8100, 
6559.794, 8102, 
6559.796, 8103, 
6559.798, 8104, 
6559.8, 8106, 
6559.802, 8107, 
6559.804, 8110, 
6559.806, 8112, 
6559.808, 8114, 
6559.81, 8115, 
6559.812, 8117, 
6559.814, 8120, 
6559.816, 8122, 
6559.818, 8124, 
6559.82, 8125, 
6559.822, 8128, 
6559.824, 8130, 
6559.826, 8132, 
6559.828, 8134, 
6559.83, 8135, 
6559.832, 8138, 
6559.834, 8140, 
6559.836, 8142, 
6559.838, 8144, 
6559.84, 8145, 
6559.842, 8147, 
6559.844, 8149, 
6559.846, 8150, 
6559.848, 8152, 
6559.85, 8153, 
6559.852, 8153, 
6559.854, 8154, 
6559.856, 8155, 
6559.858, 8156, 
6559.86, 8156, 
6559.862, 8157, 
6559.864, 8157, 
6559.866, 8156, 
6559.868, 8156, 
6559.87, 8156, 
6559.872, 8156, 
6559.874, 8155, 
6559.876, 8155, 
6559.878, 8155, 
6559.88, 8155, 
6559.882, 8154, 
6559.884, 8154, 
6559.886, 8153, 
6559.888, 8153, 
6559.89, 8152, 
6559.892, 8151, 
6559.894, 8151, 
6559.896, 8151, 
6559.898, 8150, 
6559.9, 8150, 
6559.902, 8149, 
6559.904, 8149, 
6559.906, 8148, 
6559.908, 8148, 
6559.91, 8147, 
